ID,ADDRESS,CITY,ZIP
594,3209 City Heights Rd                               ,Ashland        ,54806-2552
595,1212 S 30th St                               ,Milwaukee      ,53215
596,446 S Lexington St                               ,Spring Green   ,53588
597,1274 Hwy 175                               ,Hubertus       ,53033
598,6187 Portage Rd                               ,Deforest       ,53532-2938
599,1000 11th St                               ,Baraboo        ,53913-1729
600,1120 Draper St                               ,Baraboo        ,53913
601,812 W Hills Ln                               ,Ellsworth      ,54011-4144
602,105 Llanos St                               ,Verona         ,53593-1943
603,441 S Rosa Rd                               ,Madison        ,53719
604,N6339 County Road D                               ,Arkansaw       ,54721-9457
605,25050 State Hwy 27                               ,Eastman        ,54626
606,1940 Jackson St                               ,Stoughton      ,53589-4834
607,4480 Coriander Ct                               ,Kaukauna       ,54130-4556
608,4055 State Road 91                               ,Oshkosh        ,54904-9218
609,466 Collette Ave                               ,Green Bay      ,54304-4833
610,1607 Ohio St                               ,Oshkosh        ,54902
611,6129 N 37th St                               ,Milwaukee      ,53209-3610
612,E7373 Spring Coulee Rd                               ,Westby         ,54667-7364
613,3338 N 22nd St                               ,Milwaukee      ,53206-1711
614,S71w19818 Williams Dr                               ,Muskego        ,53150-9261
615,N6394 Raven Rd                               ,Pardeeville    ,53954
616,5224 Farwell St                               ,Mcfarland      ,53558-9125
617,4896 Larson Beach Rd                               ,Mcfarland      ,53558-8724
618,505 E Holum St                               ,Deforest       ,53532-1315
619,2428 N 48th St                               ,Milwaukee      ,53210-2803
620,537 Adams St                               ,Niagara        ,54151
621,3742 E Layton Ave                               ,Cudahy         ,53110
622,W199s7184 Simandl Dr                               ,Muskego        ,53150-9244
623,2509 71st St                               ,Kenosha        ,53143
624,733 Woodward Ave                               ,Chippewa Falls ,54729
625,3009 N Meade St                               ,Appleton       ,54911
626,1750 County Road Xx                               ,Rothschild     ,54474-9097
627,844 E Silver Spring Dr                               ,Whitefish Bay  ,53217-5232
628,300 E Hamilton Ave                               ,Eau Claire     ,54701
629,716 S Robert St                               ,Grantsburg     ,54840
630,615 Jefferson St                               ,Deforest       ,53532-1616
631,206 N Johnson St                               ,Deforest       ,53532-1304
632,718 Gilmore St                               ,Madison        ,53711
633,8837 N Trepania Rd                               ,Hayward        ,54843-2211
634,8871 N Trepania Rd                               ,Hayward        ,54843-2211
635,802 E Elm St                               ,Lancaster      ,53813-1320
636,800 N 6th St                               ,Muscoda        ,53573
637,110 W Adams                               ,Platteville    ,53818
638,400 Johnson St                               ,Boscobel       ,53805-1186
639,212 E Chapel St                               ,Dodgeville     ,53533
640,586 N Main St                               ,Richland Ctr   ,53581-1723
641,1505 Lafollette St                               ,Fennimore      ,53809-9559
642,444 N Judgement St                               ,Shullsburg     ,53586-9414
643,1110 Park St                               ,Boscobel       ,53805-1749
644,601 Fall St                               ,Eau Claire     ,54703
645,2772 S Kinnickinnic Ave                               ,Milwaukee      ,53207-2267
646,100 W Rollin St                               ,Edgerton       ,53534
647,512 Cedar Dr                               ,Hudson         ,54016-1126
648,5305 Maywood Rd                               ,Monona         ,53716
649,400 S Chestnut St                               ,Spencer        ,54479-9755
650,7108 Park Shores Ct                               ,Middleton      ,53562
651,400 Progress                               ,Cottage Grove  ,53527-9349
652,105 S Pershing St                               ,Howards Grove  ,53083
653,10522 W Custer Ave                               ,Milwaukee      ,53225
654,1429 N 5th St                               ,Sheboygan      ,53081
655,1227 Wilson Ave                               ,Sheboygan      ,53081-6741
656,1500 Douglas Dr                               ,Plymouth       ,53073-5301
658,N7135 Rocky Knoll Pkwy                               ,Plymouth       ,53073-3103
659,1515 Heller Ave                               ,Sheboygan      ,53081-2445
660,819 Kentucky Ave                               ,Sheboygan      ,53081-4954
661,1711 S 11th St                               ,Sheboygan      ,53081-5810
662,6031 W Chapel Hill Rd                               ,Mequon         ,53097-2103
663,4121 Grayhawk Trl                               ,Madison        ,53704
664,146218 Dalton Dr                               ,Mosinee        ,54455-4343
665,4224 W Ruby Ave                               ,Milwaukee      ,53209-5850
666,900 Ne 5th St                               ,Marion         ,54950
667,4448 W Leon Ter                               ,Milwaukee      ,53216-2429
668,121 Water St                               ,Mineral Point  ,53565-1245
669,E19990 Sutton Rd                               ,Augusta        ,54722
670,5141 N 51st Blvd                               ,Milwaukee      ,53218-4332
671,8121 W Hope Ave                               ,Milwaukee      ,53222
672,2535 W Lincoln Ave                               ,Milwaukee      ,53215-2574
673,4801 W Brentwood Ave                               ,Milwaukee      ,53223-6025
674,2852 Warner Ln                               ,Madison        ,53713-2163
675,9307 N 85th St                               ,Milwaukee      ,53224-1310
676,6538 Fairhaven Rd                               ,Madison        ,53719
677,4800 W Eggert Pl                               ,Milwaukee      ,53218
678,69 19th St                               ,Clintonville   ,54929-1132
679,1850 Cleveland St                               ,Beloit         ,53511-2848
680,4224 N 73rd St                               ,Milwaukee      ,53216
681,1036 Quinn Dr                               ,Waunakee       ,53597
682,504 Frontage Rd                               ,Hudson         ,54016
683,6300 Enterprise Ln                               ,Madison        ,53719
684,5210 Odana Rd                               ,Madison        ,53711-1016
685,107 N 4th St                               ,Mount Horeb    ,53572-1731
686,2376 N Martin Luther King Dr                               ,Milwaukee      ,53212
687,4006-4012 N 42nd St                               ,Milwaukee      ,53216
688,2711 W Spencer St                               ,Grand Chute    ,54914-4316
689,1019 Wilson Ave                               ,Green Bay      ,54303
690,N3111 Old Co Rd B                               ,Shell Lake     ,54871
693,929 Zemlock Ave                               ,Neenah         ,54956-3731
694,6117 Johnson St                               ,Mcfarland      ,53558-9235
695,2400 71st St                               ,Kenosha        ,53143
696,5140 N 55th St                               ,Milwaukee      ,53218
